Problem: openmdao   method: _solve_nonlinear

  Parallel group: traj.phases (ncalls = 1)

  System                 Rank      Avg Time     Min Time     Max_time   Total Time
  node_102                  6        1.6492       1.6492       1.6492       1.6492
  node_109                  6        1.8799       1.8799       1.8799       1.8799
  node_110                  6        1.6827       1.6827       1.6827       1.6827
  node_126                  6        1.8276       1.8276       1.8276       1.8276
  node_134                  6        1.8108       1.8108       1.8108       1.8108
  node_142                  6        1.7325       1.7325       1.7325       1.7325
  node_149                  6        1.6537       1.6537       1.6537       1.6537
  node_150                  6        0.8655       0.8655       0.8655       0.8655
  node_0                    7        1.8679       1.8679       1.8679       1.8679
  node_4                    7        1.7148       1.7148       1.7148       1.7148
  node_12                   7        1.7476       1.7476       1.7476       1.7476
  node_20                   7        1.7127       1.7127       1.7127       1.7127
  node_36                   7        1.7707       1.7707       1.7707       1.7707
  node_40                   7        1.6075       1.6075       1.6075       1.6075
  node_44                   7        1.6269       1.6269       1.6269       1.6269
  node_52                   7        1.5952       1.5952       1.5952       1.5952
  node_61                   7        1.7579       1.7579       1.7579       1.7579
  node_77                   7        1.5971       1.5971       1.5971       1.5971
  node_78                   7        1.7064       1.7064       1.7064       1.7064
  node_85                   7        1.6502       1.6502       1.6502       1.6502
  node_93                   7        1.6873       1.6873       1.6873       1.6873
  node_101                  7        1.8289       1.8289       1.8289       1.8289
  node_117                  7        1.8880       1.8880       1.8880       1.8880
  node_121                  7        1.8081       1.8081       1.8081       1.8081
  node_125                  7        1.8057       1.8057       1.8057       1.8057
  node_133                  7        1.7180       1.7180       1.7180       1.7180
  node_141                  7        1.8292       1.8292       1.8292       1.8292
  node_157                  7        1.5720       1.5720       1.5720       1.5720
